woorden,lettergrepen,aantal lettergrepen
playback,"['play', 'back']",2
Bermudadollar,"['Ber', 'mu', 'da', 'dol', 'lar']",5
ziekteperiodes,"['ziek', 'te', 'pe', 'ri', 'o', 'des']",6
tegennatuurlijk,"['te', 'gen', 'na', 'tuur', 'lijk']",5
rammelkarren,"['ram', 'mel', 'kar', 'ren']",4
spierwit,"['spier', 'wit']",2
brouilleren,"['brouil', 'le', 'ren']",3
hollen,"['hol', 'len']",2
persuasiefste,"['per', 'su', 'a', 'sief', 'ste']",5
simplificeren,"['sim', 'pli', 'fi', 'ce', 'ren']",5
voorshands,"['voors', 'hands']",2
doorzonkamer,"['door', 'zon', 'ka', 'mer']",4
offtrail,['offtrail'],1
kaart,['kaart'],1
zakte neer,"['zak', 'te', 'neer']",3
Ambai,"['Am', 'bai']",2
hamsterhuurde,"['ham', 'ster', 'huur', 'de']",4
manga,"['man', 'ga']",2
parallelcollega,"['pa', 'ral', 'lel', 'col', 'le', 'ga']",6
kafkaiaanst,"['kaf', 'ka', 'iaanst']",3
theeglas,"['thee', 'glas']",2
gemeente,"['ge', 'meen', 'te']",3
solidariteitsmaatregels,"['so', 'li', 'da', 'ri', 'teits', 'maat', 're', 'gels']",8
kasten,"['kas', 'ten']",2
met behulp van,"['met', 'be', 'hulp', 'van']",4
zomermiddagen,"['zo', 'mer', 'mid', 'da', 'gen']",5
sarcasten,"['sar', 'cas', 'ten']",3
keurmeester,"['keur', 'mees', 'ter']",3
bierpotje,"['bier', 'pot', 'je']",3
duwboot,"['duw', 'boot']",2
verlettend,"['ver', 'let', 'tend']",3
foutgebied,"['fout', 'ge', 'bied']",3
enclavist,"['en', 'cla', 'vist']",3
sokkerigst,"['sok', 'ke', 'rigst']",3
haast,['haast'],1
toch,['toch'],1
vrouwzieke,"['vrouw', 'zie', 'ke']",3
oplapwerk,"['op', 'lap', 'werk']",3
kiepen,"['kie', 'pen']",2
taverne,"['ta', 'ver', 'ne']",3
omdijken,"['om', 'dij', 'ken']",3
discussiegroepje,"['dis', 'cus', 'sie', 'groep', 'je']",5
Den Haag,"['Den', 'Haag']",2
Fiji,"['Fi', 'ji']",2
zoutpannen,"['zout', 'pan', 'nen']",3
Sachertorte,"['Sa', 'cher', 'tor', 'te']",4
corrosie,"['cor', 'ro', 'sie']",3
gestamd,"['ge', 'stamd']",2
favorietenrol,"['fa', 'vo', 'rie', 'ten', 'rol']",5
triolen,"['tri', 'o', 'len']",3
minachten,"['min', 'ach', 'ten']",3
kindertops,"['kin', 'der', 'tops']",3
farao,"['fa', 'rao']",2
autobranden,"['au', 'to', 'bran', 'den']",4
schaduwtje,"['scha', 'duw', 'tje']",3
zwaardridder,"['zwaard', 'rid', 'der']",3
verbond,"['ver', 'bond']",2
dalends,"['da', 'lends']",2
kopal,"['ko', 'pal']",2
kneuteren,"['kneu', 'te', 'ren']",3
tevredenst,"['te', 'vre', 'denst']",3
girofoon,"['gi', 'ro', 'foon']",3
kameraad,"['ka', 'me', 'raad']",3
heft,['heft'],1
zaligmakend,"['za', 'lig', 'ma', 'kend']",4
Ertvelde,"['Ert', 'vel', 'de']",3
bloemetjes,"['bloe', 'me', 'tjes']",3
framing,"['fra', 'ming']",2
hersengolven,"['her', 'sen', 'gol', 'ven']",4
opscheppen,"['op', 'schep', 'pen']",3
rattengezichtje,"['rat', 'ten', 'ge', 'zicht', 'je']",5
afdrukken,"['af', 'druk', 'ken']",3
spoorwegmaatschappij,"['spoor', 'weg', 'maat', 'schap', 'pij']",5
doorzeurde,"['door', 'zeur', 'de']",3
aalputje,"['aal', 'put', 'je']",3
categoriseerden,"['ca', 'te', 'go', 'ri', 'seer', 'den']",6
jij-bak,['jij-bak'],1
toonhoogte,"['toon', 'hoog', 'te']",3
daarnet,"['daar', 'net']",2
gigagram,"['gi', 'ga', 'gram']",3
Spaans-West-Afrika,"['Spaans-West-Afri', 'ka']",2
Henegouws,"['He', 'ne', 'gouws']",3
aaneenbindinkjes,"['aan', 'een', 'bin', 'din', 'kjes']",5
overweegbaars,"['over', 'weeg', 'baars']",3
Pop-Tarts,['Pop-Tarts'],1
kompresser,"['kom', 'pres', 'ser']",3
scherend,"['sche', 'rend']",2
propionzuur,"['pro', 'pi', 'on', 'zuur']",4
koesambiboom,"['koe', 'sam', 'bi', 'boom']",4
wateroppervlaktes,"['wa', 'ter', 'op', 'per', 'vlak', 'tes']",6
rijstenat,"['rijs', 'te', 'nat']",3
incunabelist,"['in', 'cu', 'na', 'be', 'list']",5
beekprik,"['beek', 'prik']",2
astrochemie,"['as', 'tro', 'che', 'mie']",4
vieruurtje,"['vier', 'uur', 'tje']",3
behapbaardere,"['be', 'hap', 'baar', 'de', 're']",5
ploeterden,"['ploe', 'ter', 'den']",3
Koran,"['Ko', 'ran']",2
Mota,"['Mo', 'ta']",2
kondigen,"['kon', 'di', 'gen']",3
Hawaïaans,"['Ha', 'waï', 'aans']",3
inzeilend,"['in', 'zei', 'lend']",3
spuwen,"['spu', 'wen']",2
vooruitgezet,"['voor', 'uit', 'ge', 'zet']",4
rijzig,"['rij', 'zig']",2
snee,['snee'],1
