woorden,lettergrepen,aantal lettergrepen
ertoe,"['er', 'toe']",2
geaasd,"['ge', 'aasd']",2
zonneweides,"['zon', 'ne', 'wei', 'des']",4
usb-opladertje,"['usb-op', 'la', 'der', 'tje']",4
Kustland,"['Kust', 'land']",2
stuwpandje,"['stuw', 'pand', 'je']",3
desnoods,"['des', 'noods']",2
asielcentrum,"['asiel', 'cen', 'trum']",3
gaandeweg,"['gaan', 'de', 'weg']",3
wegopzichter,"['weg', 'op', 'zich', 'ter']",4
emmetropie,"['em', 'me', 'tro', 'pie']",4
scheepstelegraaf,"['scheeps', 'te', 'le', 'graaf']",4
kerstpegel,"['kerst', 'pe', 'gel']",3
liepen binnen,"['lie', 'pen', 'bin', 'nen']",4
honderdenvijf,"['hon', 'derd', 'en', 'vijf']",4
conjunctuurwerkloosheid,"['con', 'junc', 'tuur', 'werk', 'loos', 'heid']",6
eilandbestuur,"['ei', 'land', 'be', 'stuur']",4
topmilitairen,"['top', 'mi', 'li', 'tai', 'ren']",5
zondagsgezichten,"['zon', 'dags', 'ge', 'zich', 'ten']",5
beginnendste,"['be', 'gin', 'nend', 'ste']",4
bestuursorgaan,"['be', 'stuurs', 'or', 'gaan']",4
aandachtsgebied,"['aan', 'dachts', 'ge', 'bied']",4
exotisch,"['exo', 'tisch']",2
lullen,"['lul', 'len']",2
dader,"['da', 'der']",2
roodharig,"['rood', 'ha', 'rig']",3
verstoppen,"['ver', 'stop', 'pen']",3
zitting,"['zit', 'ting']",2
-iaan,['-iaan'],1
selectief,"['se', 'lec', 'tief']",3
manou,"['ma', 'nou']",2
U-bootjes,"['U-boot', 'jes']",2
zendt toe,"['zendt', 'toe']",2
zirkoniumatoom,"['zir', 'ko', 'ni', 'um', 'atoom']",5
puimsteentje,"['puim', 'steen', 'tje']",3
zakken,"['zak', 'ken']",2
hub,['hub'],1
schermschool,"['scherm', 'school']",2
waterdroppeltje,"['wa', 'ter', 'drop', 'pel', 'tje']",5
fungeren,"['fun', 'ge', 'ren']",3
werktafel,"['werk', 'ta', 'fel']",3
chroomzuur,"['chroom', 'zuur']",2
sporen,"['spo', 'ren']",2
burengerucht,"['bu', 'ren', 'ge', 'rucht']",4
squashen,"['squa', 'shen']",2
servejes,"['serve', 'jes']",2
plofklassen,"['plof', 'klas', 'sen']",3
eentonig,"['een', 'to', 'nig']",3
drugsbuurtje,"['drugs', 'buurt', 'je']",3
bulgarenfraude,"['bul', 'ga', 'ren', 'frau', 'de']",5
A.D.,['A.D.'],1
hassebassen,"['has', 'se', 'bas', 'sen']",4
visachtigst,"['vis', 'ach', 'tigst']",3
uitdrijvingen,"['uit', 'drij', 'vin', 'gen']",4
-urie,"['-u', 'rie']",2
zuigerveer,"['zui', 'ger', 'veer']",3
Brașov,"['Bra', 'șov']",2
zwaarwegend,"['zwaar', 'we', 'gend']",3
eindigen,"['ein', 'di', 'gen']",3
bekaaide,"['be', 'kaai', 'de']",3
polymeer,"['po', 'ly', 'meer']",3
agenda,"['agen', 'da']",2
loipes,"['loi', 'pes']",2
doorga,"['door', 'ga']",2
gesjoemeld,"['ge', 'sjoe', 'meld']",3
meteorologisch,"['me', 'te', 'o', 'ro', 'lo', 'gisch']",6
slotsommen,"['slot', 'som', 'men']",3
gewelddadig,"['ge', 'weld', 'da', 'dig']",4
rectificerend,"['rec', 'ti', 'fi', 'ce', 'rend']",5
onterf,"['ont', 'erf']",2
exorcist,"['exor', 'cist']",2
perforateur,"['per', 'fo', 'ra', 'teur']",4
bonus-malussystemen,"['bo', 'nus-ma', 'lus', 'sys', 'te', 'men']",6
teringlijertjes,"['te', 'ring', 'lij', 'er', 'tjes']",5
